trial,item
0,1_20_male_angry
1,1_20_male_fearful
2,1_20_male_happy
3,1_20_male_sad
4,1_20_male_surprised
5,10_30_female_angry
6,10_30_female_disgusted
7,10_30_female_fearful
8,10_30_female_happy
9,10_30_female_sad
10,14_40_male_angry
11,14_40_male_fearful
12,14_40_male_happy
13,14_40_male_neutral
14,14_40_male_sad
15,18_40_female_disgusted
16,18_40_female_neutral
17,18_40_female_sad
18,18_40_female_surprised
19,21_50_male_disgusted
20,21_50_male_fearful
21,21_50_male_neutral
22,21_50_male_surprised
23,24_50_female_angry
24,24_50_female_fearful
25,24_50_female_happy
26,24_50_female_sad
27,4_20_female_angry
28,4_20_female_disgusted
29,4_20_female_neutral
30,4_20_female_surprised
31,7_30_male_disgusted
32,7_30_male_happy
33,7_30_male_neutral
34,7_30_male_surprised
